Compounds ID,Tags,Checked,Name,Formula,Annot. Source: Predicted Compositions,Annot. Source: mzVault Search,Annot. Source: ChemSpider Search,Annot. Source: MassList Search,Annot. DeltaMass [ppm],Calc. MW,m/z,RT [min],Area (Max.),# ChemSpider Results,# mzVault Results,mzVault Best Match,mzVault Library Match: Bamba lab 34 lipid mediators library stepped NCE 10 30 45,mzVault Library Match: Bamba lab 598 polar metabolites stepped NCE 10 30 45,mzVault Library Match: Custom mzVault Library,mzVault Library Match: LipidBlast-VS68-Neg,mzVault Library Match: LipidBlast-VS68-Pos,Class Coverage: Phosphatidylcholine Compound Class,Mass List Match: LipidMaps Structure Database 2021-09-13,MS2,Neutral Losses,Reference Ion,Group Area: cla,Group Area: cla_and_lps,Group Area: cla_and_no2_and_lps,Group Area: ctrl,Group Area: lps,Group Area: no2-cla_and_lps,Group CV [%]: cla,Group CV [%]: cla_and_lps,Group CV [%]: cla_and_no2_and_lps,Group CV [%]: ctrl,Group CV [%]: lps,Group CV [%]: no2-cla_and_lps,Ratio: (cla) / (ctrl),Ratio: (cla_and_lps) / (ctrl),Ratio: (cla_and_no2_and_lps) / (ctrl),Ratio: (lps) / (ctrl),Ratio: (no2-cla_and_lps) / (ctrl),Ratio: (cla) / (lps),Ratio: (cla_and_lps) / (lps),Ratio: (cla_and_no2_and_lps) / (lps),Ratio: (no2-cla_and_lps) / (lps),Log2 Fold Change: (cla) / (ctrl),Log2 Fold Change: (cla_and_lps) / (ctrl),Log2 Fold Change: (cla_and_no2_and_lps) / (ctrl),Log2 Fold Change: (lps) / (ctrl),Log2 Fold Change: (no2-cla_and_lps) / (ctrl),Log2 Fold Change: (cla) / (lps),Log2 Fold Change: (cla_and_lps) / (lps),Log2 Fold Change: (cla_and_no2_and_lps) / (lps),Log2 Fold Change: (no2-cla_and_lps) / (lps),P-value: (cla) / (ctrl),P-value: (cla_and_lps) / (ctrl),P-value: (cla_and_no2_and_lps) / (ctrl),P-value: (lps) / (ctrl),P-value: (no2-cla_and_lps) / (ctrl),P-value: (cla) / (lps),P-value: (cla_and_lps) / (lps),P-value: (cla_and_no2_and_lps) / (lps),P-value: (no2-cla_and_lps) / (lps),Adj. P-value: (cla) / (ctrl),Adj. P-value: (cla_and_lps) / (ctrl),Adj. P-value: (cla_and_no2_and_lps) / (ctrl),Adj. P-value: (lps) / (ctrl),Adj. P-value: (no2-cla_and_lps) / (ctrl),Adj. P-value: (cla) / (lps),Adj. P-value: (cla_and_lps) / (lps),Adj. P-value: (cla_and_no2_and_lps) / (lps),Adj. P-value: (no2-cla_and_lps) / (lps),Peak Rating (Max.),Peak Rating: Liver-H-9_20250116121130.raw (F8),Peak Rating: Liver-H-10_20250116122626.raw (F9),Peak Rating: Liver-H-11_20250116124122.raw (F10),Peak Rating: Liver-H-12_20250116125618.raw (F11),Peak Rating: Liver-H-13_20250116131114.raw (F12),Peak Rating: Liver-H-14_20250116132610.raw (F13),Peak Rating: Liver-H-15_20250116134106.raw (F14),Peak Rating: Liver-H-16_20250116135602.raw (F15),Peak Rating: Liver-H-25.raw (F24),Peak Rating: Liver-H-26.raw (F25),Peak Rating: Liver-H-27.raw (F26),Peak Rating: Liver-H-28.raw (F27),Peak Rating: Liver-H-29.raw (F28),Peak Rating: Liver-H-30.raw (F29),Peak Rating: Liver-H-31.raw (F30),Peak Rating: Liver-H-32.raw (F31),Peak Rating: Liver-H-41.raw (F40),Peak Rating: Liver-H-42.raw (F41),Peak Rating: Liver-H-43.raw (F42),Peak Rating: Liver-H-44.raw (F43),Peak Rating: Liver-H-1.raw (F1),Peak Rating: Liver-H-2.raw (F2),Peak Rating: Liver-H-4_20250116105642.raw (F3),Peak Rating: Liver-H-5_20250116111146.raw (F4),Peak Rating: Liver-H-6_20250116112642.raw (F5),Peak Rating: Liver-H-7_20250116114138.raw (F6),Peak Rating: Liver-H-8_20250116115634.raw (F7),Peak Rating: Liver-H-17_20250116141058.raw (F16),Peak Rating: Liver-H-18_20250116142554.raw (F17),Peak Rating: Liver-H-19_20250116144050.raw (F18),Peak Rating: Liver-H-20_20250116145546.raw (F19),Peak Rating: Liver-H-21.raw (F20),Peak Rating: Liver-H-22.raw (F21),Peak Rating: Liver-H-23.raw (F22),Peak Rating: Liver-H-24.raw (F23),Peak Rating: Liver-H-33.raw (F32),Peak Rating: Liver-H-34.raw (F33),Peak Rating: Liver-H-35.raw (F34),Peak Rating: Liver-H-36.raw (F35),Peak Rating: Liver-H-37.raw (F36),Peak Rating: Liver-H-38.raw (F37),Peak Rating: Liver-H-39.raw (F38),Peak Rating: Liver-H-40.raw (F39)
1,,False,DHA,C22 H32 O2,Full match, No results, Partial match, Full match,0.43,328.24037,327.23309,7.285,5172771751.6233,8,0,,No matches found, No matches found, No matches found, No matches found, No matches found,,Multiple matches found,PreferredDDA,CO2,[M-H]-1,3806978287.46437, 2814874993.40763, 3331126315.57882, 3041878168.37506, 2641783793.45922, 3077411412.04827,25.4495315286441, 35.800783638182, 39.7623751093422, 43.2188028474172, 82.4341572324204, 21.6815482325448,1.252, 0.925, 1.095, 0.868, 1.012, 1.441, 1.066, 1.261, 1.165,0.32, -0.11, 0.13, -0.20, 0.02, 0.53, 0.09, 0.33, 0.22,0.979431227725028, 0.999951764719734, 0.999425172877288, 0.443346380503379, 0.994283187493258, 0.108577108785291, 0.29492140264348, 0.413038518855586, 0.157191602400126,1, 1, 0.999999999999243, 0.999999999999704, 1, 0.89903174886709, 0.999999999999185, 0.999999999999414, 1,8.0,6.1, 5.7, 5.3, 8.0, 6.1, 5.7, 6.1, 6.1, 6.3, 5.2, 6.3, 6.0, 6.0, 4.8, 6.3, 4.8, 4.8, 5.2, 4.4, 5.6, 5.8, 3.9, 3.9, 4.3, 6.6, 3.9, 5.5, 6.6, 5.1, 6.6, 5.8, 3.6, 6.6, 5.1, 4.3, 6.1, 6.8, 6.8, 6.1, 5.3, 6.1, 7.6, 4.9
2,,False,"18-methyl-5Z,8Z,11Z,14Z-nonadecatetraenoic acid",C20 H32 O2,Full match, No results, Partial match, Full match,0.18,304.24029,303.23301,7.423,3921625214.86094,21,0,,No matches found, No matches found, No matches found, No matches found, No matches found,,Multiple matches found,PreferredDDA,CO2,[M-H]-1,3074341507.28311, 2528919176.91062, 2930774046.5671, 2712794008.1889, 2277933971.28478, 2975257253.89748,19.8672746527307, 34.5144057340853, 37.7119804801955, 37.593015025638, 78.5474231071824, 20.1847190466045,1.133, 0.932, 1.080, 0.840, 1.097, 1.350, 1.110, 1.287, 1.306,0.18, -0.10, 0.11, -0.25, 0.13, 0.43, 0.15, 0.36, 0.39,0.991634900860719, 0.999998999339201, 0.999975099825374, 0.274309712261721, 0.999411029387661, 0.0710739422868993, 0.202616557687629, 0.353101446067078, 0.124228143024556,1, 1, 0.999999999999243, 0.999999999999704, 1, 0.735959208841764, 0.999999999999185, 0.999999999999414, 1,7.7,7.0, 7.3, 5.8, 7.0, 7.3, 7.7, 6.2, 6.2, 3.7, 5.2, 6.3, 6.3, 4.8, 6.0, 7.1, 6.7, 5.2, 4.1, 4.4, 4.1, 4.8, 4.8, 5.6, 5.6, 5.6, 4.1, 7.1, 5.8, 3.9, 6.6, 5.8, 3.9, 5.8, 3.2, 5.8, 5.3, 6.5, 5.7, 6.5, 4.2, 4.9, 6.5, 7.6
8,,False,Cer 18:2;2O/2:0,C20 H37 N O3,Full match, Full match, Partial match, Partial match,0.57,339.27754,338.27026,5.334,3727832576.99289,1,1,0.1,No matches found, No matches found, No matches found, Single match found, No matches found,,Multiple matches found,PreferredDDA,CO2,[M-H]-1,990863318.061517, 217803555.964721, 1052099507.99433, 196669746.895076, 768403076.405771, 119302814.34778,36.4420367636394, 121.896479932523, 77.9883847751316, 49.0658918295536, 120.696764659962, 77.629631896696,5.038, 1.107, 5.350, 3.907, 0.607, 1.290, 0.283, 1.369, 0.155,2.33, 0.15, 2.42, 1.97, -0.72, 0.37, -1.82, 0.45, -2.69,0.0433276509635393, 0.999191601638636, 0.397562639823236, 0.5870588528937, 0.998280970552258, 0.758071142967749, 0.735307463872091, 0.996436502358577, 0.310235738983751,0.88738498372076, 1, 0.999999999999243, 0.999999999999704, 1, 1, 0.999999999999185, 0.999999999999414, 1,6.7,6.7, 6.3, 4.8, 6.0, 5.2, 6.3, 4.8, 6.7, 3.6, 5.5, 5.2, 5.5, 6.2, 6.2, 6.2, 5.8, 5.1, 5.1, 5.8, 6.2, 2.0, 3.9, 3.9, 4.7, 4.7, 4.7, , , 5.5, , 5.2, 1.7, 4.7, 3.9, 5.1, 5.8, 1.8, , 5.5, 3.0, 3.2, 2.4, 3.9
3,,False,"16-methyl-6Z,9Z-heptadecadienoic acid",C18 H32 O2,Full match, No results, Partial match, Full match,-0.13,280.24019,279.23291,7.540,2979422232.81003,4,0,,No matches found, No matches found, No matches found, No matches found, No matches found,,Multiple matches found,PreferredDDA,,[M-H]-1,2626876849.10479, 2309253054.13846, 2222809845.0942, 2488170835.41087, 1728116340.67361, 2309065608.67552,9.14296309455924, 17.1835970896293, 23.183380541524, 23.2463923368452, 72.3236394811422, 13.2919972421951,1.056, 0.928, 0.893, 0.695, 0.928, 1.520, 1.336, 1.286, 1.336,0.08, -0.11, -0.16, -0.53, -0.11, 0.60, 0.42, 0.36, 0.42,0.996953767988585, 0.99999582555823, 0.99999998937319, 0.108112873874805, 0.999996817329986, 0.0282368268940683, 0.0666350547771429, 0.225278180929429, 0.0676602480620822,1, 1, 0.999999999999243, 0.999999999999704, 1, 0.49456135960951, 0.999999999999185, 0.999999999999414, 1,8.7,6.1, 5.7, 8.7, 6.1, 6.5, 6.1, 6.1, 5.7, 5.1, 8.1, 6.6, 4.7, 4.3, 5.1, 3.9, 5.1, 3.8, 6.5, 4.6, 6.5, 4.6, 4.6, 6.5, 3.4, 6.5, 6.8, 6.8, 6.6, 3.9, 6.6, 5.8, 2.4, 5.5, 1.7, 2.8, 7.5, 6.0, 8.6, 5.2, 6.3, 7.1, 5.2, 5.6
5,,False,"16-methyl-6Z,9Z,12Z-heptadecatrienoic acid",C18 H30 O2,Full match, No results, Partial match, Full match,-0.04,278.22457,277.21729,7.039,2388475645.4374,5,0,,No matches found, No matches found, No matches found, No matches found, No matches found,,Multiple matches found,PreferredDDA,CO2,[M-H]-1,1329226506.46881, 749063050.705624, 984499102.36827, 1118542189.37684, 765687252.535533, 1031487397.7201,39.5636696753528, 66.1854713176025, 23.8792395578661, 31.9741997520608, 81.1946559126826, 23.1178640566376,1.188, 0.670, 0.880, 0.685, 0.922, 1.736, 0.978, 1.286, 1.347,0.25, -0.58, -0.18, -0.55, -0.12, 0.80, -0.03, 0.36, 0.43,0.996446585311799, 0.999988093696073, 0.999999999189007, 0.11791863574738, 0.999996012894438, 0.0301774727617038, 0.134607040381083, 0.246194139668495, 0.0736007357044342,1, 1, 0.999999999999243, 0.999999999999704, 1, 0.49456135960951, 0.999999999999185, 0.999999999999414, 1,7.2,6.3, 3.7, 7.1, 6.3, 6.7, 6.3, 4.8, 6.7, 5.5, 2.8, 6.2, 5.8, 2.0, 5.1, 5.8, 3.6, 6.8, 7.2, 4.6, 6.5, 6.3, 6.3, 6.0, 6.3, 6.3, 6.3, 6.3, 4.5, 5.5, 4.9, 5.8, 6.2, 5.8, 5.5, 5.8, 6.8, 4.9, 6.1, 6.8, 3.1, 6.5, 6.8, 6.5
9,,False,"16-methyl-6Z,9Z,12Z-heptadecatrienoic acid",C18 H30 O2,Full match, No results, Partial match, Full match,-0.06,278.22456,277.21728,7.103,1762479100.57083,5,0,,No matches found, No matches found, No matches found, No matches found, No matches found,,Multiple matches found,PreferredDDA,CO2,[M-H]-1,1088835327.53061, 613572366.920534, 748327481.030838, 1117667825.66115, 930698868.569725, 802668541.050934,40.3652015059947, 60.6553318431005, 58.9492185855031, 43.419964719354, 55.8535076455706, 40.6456500251692,0.974, 0.549, 0.670, 0.833, 0.718, 1.170, 0.659, 0.804, 0.862,-0.04, -0.87, -0.58, -0.26, -0.48, 0.23, -0.60, -0.31, -0.21,0.9995166754361, 0.928537126378693, 0.980765471280625, 0.945848317127036, 0.998702852070266, 0.834739371362634, 0.999999998000801, 0.999999999564626, 0.99382777682181,1, 1, 0.999999999999243, 0.999999999999704, 1, 1, 0.999999999999185, 0.999999999999414, 1,6.2,5.5, 3.2, 3.9, 4.3, 2.8, 4.3, , 6.2, 4.7, 2.8, 4.7, 5.1, , 4.3, 5.8, 5.1, 5.8, 3.9, 3.6, , 5.5, 5.1, 5.8, 4.7, 5.5, 5.5, 5.1, , 3.9, , 5.8, 5.5, 5.5, 2.8, 5.5, 2.8, 5.1, 4.7, 6.2, 5.8, 5.1, 5.5, 4.7
6,,False,"4,8,12,15,18-eicosapentaenoic acid",C20 H30 O2,Full match, No results, Partial match, Full match,0.14,302.22462,301.21735,6.970,1610526600.84765,33,0,,No matches found, No matches found, No matches found, No matches found, No matches found,,Multiple matches found,PreferredDDA,CO2,[M-H]-1,1220734651.5708, 1024410710.22452, 866848365.449439, 1231483554.65772, 969030760.055856, 1514767756.20594,32.9675466954977, 33.891066057481, 40.111213459193, 41.6308320746907, 52.2840752598814, 29.664031701924,0.991, 0.832, 0.704, 0.787, 1.230, 1.260, 1.057, 0.895, 1.563,-0.01, -0.27, -0.51, -0.35, 0.30, 0.33, 0.08, -0.16, 0.64,0.998287465094266, 0.999948282560642, 0.999999538015565, 0.99131369657254, 0.879738250295212, 0.914354002495036, 0.998384613028026, 0.997987383030631, 0.579798418210765,1, 1, 0.999999999999243, 0.999999999999704, 1, 1, 0.999999999999185, 0.999999999999414, 1,8.0,6.3, 7.1, 6.3, 6.3, 6.3, 7.1, 7.1, 7.1, 6.3, 6.3, 7.1, 6.3, 7.1, 6.3, 7.1, 7.5, 7.0, 5.8, 6.2, 6.6, 5.8, 5.8, 6.6, 7.0, 5.8, 5.8, 6.6, , 6.2, , 6.6, 5.5, 6.6, 4.3, 5.8, 6.1, 6.8, 6.8, 8.0, 7.6, 7.6, , 6.8
16,,False,Cer 18:2;2O/2:0,C20 H37 N O3,Full match, Full match, Partial match, Partial match,0.74,339.27760,338.27031,5.433,1460327351.12566,1,1,0.1,No matches found, No matches found, No matches found, Single match found, No matches found,,Multiple matches found,PreferredDDA,CO2,[M-H]-1,770646006.091496, 350743889.681592, 939424352.889341, 17099606.2983217, 485848929.782707, 41267528.1809261,36.9893261662777, 100.57910427063, 68.2765337151436, 3.72018062777727, 112.215485693073, 117.027851810909,45.068, 20.512, 54.938, 28.413, 2.413, 1.586, 0.722, 1.934, 0.085,5.49, 4.36, 5.78, 4.83, 1.27, 0.67, -0.47, 0.95, -3.56,0.0489652384254396, 0.497239082785513, 0.119033543692322, 0.647210178904186, 0.994035375899201, 0.432221383999143, 0.999953872933354, 0.716817562560124, 0.820103418782966,0.914029823488742, 1, 0.999999999999243, 0.999999999999704, 1, 1, 0.999999999999185, 0.999999999999414, 1,7.9,6.3, 6.0, , 3.3, 4.4, 6.0, 3.3, 6.0, , 5.2, , 4.0, 5.1, 5.1, 4.7, 5.5, 4.3, 5.1, 5.5, 5.5, 7.9, 5.6, , , , , , , 5.2, , 3.9, , 5.5, , 4.3, 1.4, , 2.1, 5.1, , 5.5, , 
11,,False,"4,7,10,13,16-docosapentaenoic acid",C22 H34 O2,Full match, No results, Partial match, Full match,0.45,330.25603,329.24876,7.701,1394466674.52252,4,0,,No matches found, No matches found, No matches found, No matches found, No matches found,,Multiple matches found,PreferredDDA,CO2,[M-H]-1,899868294.911634, 459021785.147874, 689612744.885615, 433119604.636101, 413250138.103918, 367468384.163359,33.3920502616683, 69.4651674811748, 53.6869595857959, 47.2164740447155, 90.5327930717411, 30.9261482182591,2.078, 1.060, 1.592, 0.954, 0.848, 2.178, 1.111, 1.669, 0.889,1.05, 0.08, 0.67, -0.07, -0.24, 1.12, 0.15, 0.74, -0.17,0.645982748551908, 0.973798152083556, 0.946320019293936, 0.895205497272946, 0.997836045468596, 0.103711159940676, 0.435104177541389, 0.475286879912673, 0.638439537795952,1, 1, 0.999999999999243, 0.999999999999704, 1, 0.876086377393604, 0.999999999999185, 0.999999999999414, 1,7.1,6.3, 7.1, 7.1, 5.6, 6.3, 6.3, 6.0, 6.3, 6.6, 6.6, 6.2, 5.8, 6.6, 6.6, 6.6, 5.8, 5.8, 6.6, 6.2, 5.8, 6.6, 5.8, 5.8, 6.2, 6.6, 5.8, 6.6, 5.2, 5.1, 4.8, 3.6, 5.8, 4.3, 6.6, 6.6, 7.1, 7.1, 7.1, 7.1, 7.1, 7.1, 7.1, 7.1
10,,False,"2,4-dimethyl-2E-tetradecenoic acid",C16 H30 O2,Full match, No results, Partial match, Full match,-0.41,254.22448,253.21720,7.342,1334664811.21017,4,0,,No matches found, No matches found, No matches found, No matches found, No matches found,,Multiple matches found,PreferredDDA,,[M-H]-1,964621836.286293, 577343020.217988, 769386960.339568, 692601653.575529, 475984310.00548, 506466251.577954,24.3805432960917, 28.3620497905178, 26.4838036556183, 22.3891315113679, 73.463915195196, 30.4078777971915,1.393, 0.834, 1.111, 0.687, 0.731, 2.027, 1.213, 1.616, 1.064,0.48, -0.26, 0.15, -0.54, -0.45, 1.02, 0.28, 0.69, 0.09,0.873487933343345, 0.994406451284727, 0.996711482490333, 0.0511457518921842, 0.979815620972788, 0.00107805749618139, 0.108164507892497, 0.0359328305858404, 0.158675724137188,1, 1, 0.999999999999243, 0.999999999999704, 1, 0.173028228137114, 0.999999999999185, 0.999999999999414, 1,7.6,7.2, 6.8, 7.6, 6.5, 7.2, 5.3, 5.7, 7.2, 4.9, 6.8, 4.6, 6.8, 7.2, 6.8, 6.8, 4.9, 7.2, 5.3, 6.5, 6.8, 7.2, 7.2, , 5.7, 7.2, 6.8, 6.8, 4.8, 5.5, 3.9, 5.5, 2.8, 5.1, 5.8, 3.9, 6.0, 6.3, 6.3, 5.6, 6.3, 6.0, 6.3, 6.7
