Input Mass	Matched Mass	Delta	Name	Formula	Ion	LMSD Examples
327.23309	327.2330	.0001	FA 22:6	C22H32O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 22:6
303.23301	303.2330	.0001	FA 20:4	C20H32O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 20:4
303.23301	303.2330	.0001	ST 20:1;O2	C20H32O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=ST 20:1;O2
303.23301	303.2329	.0001	TG 57:10	C60H96O6	[M-3H]3-	/resources/tools/chemdb_ontology?abbrev=TG 57:10
279.23291	279.2330	.0001	FA 18:2	C18H32O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 18:2
279.23291	279.2330	.0001	SFE 18:2	C18H32O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=SFE 18:2
279.23291	279.2330	.0001	WE 18:2	C18H32O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=WE 18:2
279.23291	279.2330	.0001	FAHFA 36:3;O	C36H64O4	[M-2H]2-	/resources/tools/chemdb_ontology?abbrev=FAHFA 36:3;O
279.23291	279.2329	.0000	TG 51:4	C54H96O6	[M-3H]3-	/resources/tools/chemdb_ontology?abbrev=TG 51:4
277.21729	277.2173	.0000	FA 18:3	C18H30O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 18:3
277.21729	277.2173	.0000	SFE 18:3	C18H30O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=SFE 18:3
277.21729	277.2173	.0000	ST 18:0;O2	C18H30O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=ST 18:0;O2
277.21729	277.2173	.0000	TG 51:7	C54H90O6	[M-3H]3-	/resources/tools/chemdb_ontology?abbrev=TG 51:7
277.21728	277.2173	.0000	FA 18:3	C18H30O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 18:3
277.21728	277.2173	.0000	SFE 18:3	C18H30O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=SFE 18:3
277.21728	277.2173	.0000	ST 18:0;O2	C18H30O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=ST 18:0;O2
277.21728	277.2173	.0000	TG 51:7	C54H90O6	[M-3H]3-	/resources/tools/chemdb_ontology?abbrev=TG 51:7
301.21735	301.2173	.0000	FA 20:5	C20H30O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 20:5
301.21735	301.2173	.0000	ST 20:2;O2	C20H30O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=ST 20:2;O2
329.24876	329.2486	.0002	FA 22:5	C22H34O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 22:5
329.24876	329.2486	.0002	SFE 22:5	C22H34O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=SFE 22:5
253.21720	253.2173	.0001	FA 16:1	C16H30O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 16:1
253.21720	253.2173	.0001	SFE 16:1	C16H30O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=SFE 16:1
253.21720	253.2173	.0001	WE 16:1	C16H30O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=WE 16:1
253.21720	253.2173	.0001	FAHFA 32:1;O	C32H60O4	[M-2H]2-	/resources/tools/chemdb_ontology?abbrev=FAHFA 32:1;O
253.21720	253.2173	.0001	TG 45:1	C48H90O6	[M-3H]3-	/resources/tools/chemdb_ontology?abbrev=TG 45:1
333.22033	333.2202	.0001	FA 18:1;O	C18H34O3	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=FA 18:1;O
281.24859	281.2486	.0000	FA 18:1	C18H34O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 18:1
281.24859	281.2486	.0000	SFE 18:1	C18H34O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=SFE 18:1
281.24859	281.2486	.0000	FAHFA 36:1;O	C36H68O4	[M-2H]2-	/resources/tools/chemdb_ontology?abbrev=FAHFA 36:1;O
281.24859	281.2486	.0000	TG 51:1	C54H102O6	[M-3H]3-	/resources/tools/chemdb_ontology?abbrev=TG 51:1
221.08147	221.0819	.0005	FA 12:5;O2	C12H14O4	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 12:5;O2
221.08147	221.0819	.0005	SFE 11:5	C11H12O2	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=SFE 11:5
221.08147	221.0819	.0005	FA 10:5	C10H10O2	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=FA 10:5
297.24353	297.2435	.0000	FA 18:1;O	C18H34O3	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 18:1;O
305.24871	305.2486	.0001	FA 20:3	C20H34O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 20:3
305.24871	305.2486	.0001	SFE 20:3	C20H34O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=SFE 20:3
305.24871	305.2486	.0001	WE 20:3	C20H34O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=WE 20:3
305.24871	305.2486	.0001	ST 19:0	C19H32	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=ST 19:0
305.24871	305.2486	.0001	TG 57:7	C60H102O6	[M-3H]3-	/resources/tools/chemdb_ontology?abbrev=TG 57:7
467.30126	467.3014	.0002	ST 25:1;O5	C25H42O5	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=ST 25:1;O5
467.30126	467.3014	.0002	ST 24:1;O5	C24H40O5	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=ST 24:1;O5
227.20127	227.2017	.0004	FA 14:0	C14H28O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 14:0
227.20127	227.2017	.0004	SFE 14:0	C14H28O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=SFE 14:0
227.20127	227.2017	.0004	WE 14:0	C14H28O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=WE 14:0
251.20152	251.2017	.0001	FA 16:2	C16H28O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 16:2
251.20152	251.2017	.0001	SFE 16:2	C16H28O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=SFE 16:2
251.20152	251.2017	.0001	WE 16:2	C16H28O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=WE 16:2
251.20152	251.2017	.0001	FAHFA 32:3;O	C32H56O4	[M-2H]2-	/resources/tools/chemdb_ontology?abbrev=FAHFA 32:3;O
251.20152	251.2016	.0001	TG 45:4	C48H84O6	[M-3H]3-	/resources/tools/chemdb_ontology?abbrev=TG 45:4
299.25919	299.2592	.0000	FA 18:0;O	C18H36O3	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 18:0;O
329.24874	329.2486	.0001	FA 22:5	C22H34O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 22:5
329.24874	329.2486	.0001	SFE 22:5	C22H34O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=SFE 22:5
329.24874	329.2486	.0002	TG 63:13	C66H102O6	[M-3H]3-	/resources/tools/chemdb_ontology?abbrev=TG 63:13
255.23287	255.2330	.0001	FA 16:0	C16H32O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 16:0
255.23287	255.2330	.0001	SFE 16:0	C16H32O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=SFE 16:0
255.23287	255.2330	.0001	WE 16:0	C16H32O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=WE 16:0
373.21512	373.2151	.0000	FA 20:3;O2	C20H34O4	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=FA 20:3;O2
421.21529	421.2151	.0002	ST 24:4;O4	C24H34O4	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=ST 24:4;O4
405.26471	405.2647	.0001	ST 24:2;O5	C24H38O5	[M-H]-	/resources/tools/chemdb_ontology?abbrev=ST 24:2;O5
405.26471	405.2647	.0001	FA 23:5;O	C23H36O3	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=FA 23:5;O
405.26471	405.2647	.0001	FA 22:5;O	C22H34O3	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=FA 22:5;O
331.26440	331.2643	.0001	FA 22:4	C22H36O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 22:4
331.26440	331.2643	.0001	SFE 22:4	C22H36O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=SFE 22:4
299.25917	299.2592	.0000	FA 18:0;O	C18H36O3	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 18:0;O
379.20465	379.2046	.0001	FA 22:6;O	C22H32O3	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=FA 22:6;O
379.20465	379.2046	.0001	ST 22:3;O3	C22H32O3	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=ST 22:3;O3
321.24364	321.2435	.0001	FA 20:3;O	C20H34O3	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 20:3;O
321.24364	321.2435	.0001	ST 19:0;O	C19H32O	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=ST 19:0;O
345.24360	345.2435	.0001	FA 22:5;O	C22H34O3	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 22:5;O
345.24360	345.2435	.0001	ST 21:2;O	C21H32O	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=ST 21:2;O
345.24360	345.2435	.0001	ST 20:2;O	C20H30O	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=ST 20:2;O
295.22792	295.2279	.0000	FA 18:2;O	C18H32O3	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 18:2;O
295.22781	295.2279	.0001	FA 18:2;O	C18H32O3	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 18:2;O
271.22797	271.2279	.0001	FA 16:0;O	C16H32O3	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 16:0;O
275.20164	275.2017	.0000	FA 18:4	C18H28O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 18:4
275.20164	275.2017	.0000	ST 18:1;O2	C18H28O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=ST 18:1;O2
355.20461	355.2046	.0001	FA 20:4;O	C20H32O3	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=FA 20:4;O
331.20474	331.2046	.0002	FA 18:2;O	C18H32O3	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=FA 18:2;O
297.24348	297.2435	.0000	FA 18:1;O	C18H34O3	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 18:1;O
397.21502	397.2151	.0001	FA 22:5;O2	C22H34O4	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=FA 22:5;O2
379.20463	379.2046	.0001	FA 22:6;O	C22H32O3	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=FA 22:6;O
379.20463	379.2046	.0001	ST 22:3;O3	C22H32O3	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=ST 22:3;O3
303.23295	303.2330	.0000	FA 20:4	C20H32O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 20:4
303.23295	303.2330	.0000	ST 20:1;O2	C20H32O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=ST 20:1;O2
303.23295	303.2329	.0000	TG 57:10	C60H96O6	[M-3H]3-	/resources/tools/chemdb_ontology?abbrev=TG 57:10
375.23070	375.2308	.0001	FA 20:2;O2	C20H36O4	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=FA 20:2;O2
375.23070	375.2308	.0001	FOH 20:2;O3	C20H36O4	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=FOH 20:2;O3
373.21520	373.2151	.0001	FA 20:3;O2	C20H34O4	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=FA 20:3;O2
271.22808	271.2279	.0002	FA 16:0;O	C16H32O3	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 16:0;O
293.21240	293.2122	.0002	FA 18:3;O	C18H30O3	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 18:3;O
354.26504	354.2650	.0001	SPB 19:3;O2	C19H35NO2	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=SPB 19:3;O2
354.26504	354.2650	.0001	SPB 18:3;O2	C18H33NO2	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=SPB 18:3;O2
340.28574	340.2857	.0000	Cer 20:1;O2	C20H39NO3	[M-H]-	/resources/tools/chemdb_ontology?abbrev=Cer 20:1;O2
345.24366	345.2435	.0001	FA 22:5;O	C22H34O3	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 22:5;O
345.24366	345.2435	.0001	ST 21:2;O	C21H32O	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=ST 21:2;O
