LMSD Examples,Input Mass
/resources/tools/chemdb_ontology?abbrev=SPB 18:1;O3,314.27028
/resources/tools/chemdb_ontology?abbrev=FA 24:1;O,417.31403
/resources/tools/chemdb_ontology?abbrev=LPA 18:1,435.25197
/resources/tools/chemdb_ontology?abbrev=ST 27:2;O7,479.30160
/resources/tools/chemdb_ontology?abbrev=ST 26:2;O5,479.30160
/resources/tools/chemdb_ontology?abbrev=ST 25:2;O5,479.30160
/resources/tools/chemdb_ontology?abbrev=LPA O-16:0,395.25701
/resources/tools/chemdb_ontology?abbrev=LPA 18:0,437.26743
/resources/tools/chemdb_ontology?abbrev=WE 22:1;O4,437.26743
/resources/tools/chemdb_ontology?abbrev=FA 24:1;O2,397.33206
/resources/tools/chemdb_ontology?abbrev=FA 23:1,397.33206
/resources/tools/chemdb_ontology?abbrev=SFE 23:1,397.33206
/resources/tools/chemdb_ontology?abbrev=WE 23:1,397.33206
/resources/tools/chemdb_ontology?abbrev=FA 22:1,397.33206
/resources/tools/chemdb_ontology?abbrev=SFE 22:1,397.33206
/resources/tools/chemdb_ontology?abbrev=WE 22:1,397.33206
/resources/tools/chemdb_ontology?abbrev=SPB 19:2;O2,356.28074
/resources/tools/chemdb_ontology?abbrev=NAE 16:1,356.28074
/resources/tools/chemdb_ontology?abbrev=SPB 18:2;O2,356.28074
/resources/tools/chemdb_ontology?abbrev=SPB 19:3;O2,354.26502
/resources/tools/chemdb_ontology?abbrev=SPB 18:3;O2,354.26502
/resources/tools/chemdb_ontology?abbrev=FA 24:5,393.25661
/resources/tools/chemdb_ontology?abbrev=ST 24:2;O2,393.25661
/resources/tools/chemdb_ontology?abbrev=Cer 20:1;O2,340.28565
/resources/tools/chemdb_ontology?abbrev=FA 14:0;O,243.19641
/resources/tools/chemdb_ontology?abbrev=FA 26:6,383.29574
/resources/tools/chemdb_ontology?abbrev=LPA 18:2,433.23616
/resources/tools/chemdb_ontology?abbrev=FA 19:1,295.26428
/resources/tools/chemdb_ontology?abbrev=SFE 19:1,295.26428
/resources/tools/chemdb_ontology?abbrev=WE 19:1,295.26428
/resources/tools/chemdb_ontology?abbrev=TG 54:1,295.26428
/resources/tools/chemdb_ontology?abbrev=FA 21:5,315.23310
/resources/tools/chemdb_ontology?abbrev=ST 21:2;O2,315.23310
/resources/tools/chemdb_ontology?abbrev=FA 20:1;O2,341.26987
/resources/tools/chemdb_ontology?abbrev=FA 19:1,341.26987
/resources/tools/chemdb_ontology?abbrev=SFE 19:1,341.26987
/resources/tools/chemdb_ontology?abbrev=WE 19:1,341.26987
/resources/tools/chemdb_ontology?abbrev=FA 18:1,341.26987
/resources/tools/chemdb_ontology?abbrev=SFE 18:1,341.26987
/resources/tools/chemdb_ontology?abbrev=FA 19:5,287.20173
/resources/tools/chemdb_ontology?abbrev=ST 19:2;O2,287.20173
/resources/tools/chemdb_ontology?abbrev=SPB 18:0;O2,360.31215
/resources/tools/chemdb_ontology?abbrev=FA 24:4,359.29572
/resources/tools/chemdb_ontology?abbrev=ST 24:1;O2,359.29572
/resources/tools/chemdb_ontology?abbrev=FA 16:2,287.17817
/resources/tools/chemdb_ontology?abbrev=SFE 16:2,287.17817
/resources/tools/chemdb_ontology?abbrev=WE 16:2,287.17817
/resources/tools/chemdb_ontology?abbrev=MG 18:0,393.27812
/resources/tools/chemdb_ontology?abbrev=MG O-18:1;O,393.27812
/resources/tools/chemdb_ontology?abbrev=FA 22:6,327.23323
/resources/tools/chemdb_ontology?abbrev=FA 20:1;O,325.27482
/resources/tools/chemdb_ontology?abbrev=TG 37:0,325.27482
/resources/tools/chemdb_ontology?abbrev=FA 15:0,241.21700
/resources/tools/chemdb_ontology?abbrev=SFE 15:0,241.21700
/resources/tools/chemdb_ontology?abbrev=WE 15:0,241.21700
/resources/tools/chemdb_ontology?abbrev=FA 14:0;O,243.19638
/resources/tools/chemdb_ontology?abbrev=FA 15:1,239.20137
/resources/tools/chemdb_ontology?abbrev=SFE 15:1,239.20137
/resources/tools/chemdb_ontology?abbrev=WE 15:1,239.20137
/resources/tools/chemdb_ontology?abbrev=FA 22:5;O2,361.23887
/resources/tools/chemdb_ontology?abbrev=FA 21:5,361.23887
/resources/tools/chemdb_ontology?abbrev=ST 21:2;O2,361.23887
/resources/tools/chemdb_ontology?abbrev=FA 20:5,361.23887
/resources/tools/chemdb_ontology?abbrev=ST 20:2;O2,361.23887
/resources/tools/chemdb_ontology?abbrev=FA 20:4;O2,335.22297
/resources/tools/chemdb_ontology?abbrev=FA 19:4,335.22297
/resources/tools/chemdb_ontology?abbrev=ST 19:1;O2,335.22297
/resources/tools/chemdb_ontology?abbrev=FA 18:4,335.22297
/resources/tools/chemdb_ontology?abbrev=ST 18:1;O2,335.22297
/resources/tools/chemdb_ontology?abbrev=ST 24:3;O3,431.28019
/resources/tools/chemdb_ontology?abbrev=CAR 20:2,450.35915
/resources/tools/chemdb_ontology?abbrev=FA 18:2;O,295.22815
/resources/tools/chemdb_ontology?abbrev=FA 12:3,239.12865
/resources/tools/chemdb_ontology?abbrev=FA 11:3,239.12865
/resources/tools/chemdb_ontology?abbrev=SFE 11:3,239.12865
/resources/tools/chemdb_ontology?abbrev=FA 18:2;O2,311.22296
/resources/tools/chemdb_ontology?abbrev=FA 17:2,311.22296
/resources/tools/chemdb_ontology?abbrev=SFE 17:2,311.22296
/resources/tools/chemdb_ontology?abbrev=WE 17:2,311.22296
/resources/tools/chemdb_ontology?abbrev=FA 16:2,311.22296
/resources/tools/chemdb_ontology?abbrev=SFE 16:2,311.22296
/resources/tools/chemdb_ontology?abbrev=WE 16:2,311.22296
/resources/tools/chemdb_ontology?abbrev=FA 18:3;O,329.18906
/resources/tools/chemdb_ontology?abbrev=FA 20:5,337.19383
/resources/tools/chemdb_ontology?abbrev=ST 20:2;O2,337.19383
/resources/tools/chemdb_ontology?abbrev=FA 18:2;O2,311.22302
/resources/tools/chemdb_ontology?abbrev=FA 17:2,311.22302
/resources/tools/chemdb_ontology?abbrev=SFE 17:2,311.22302
/resources/tools/chemdb_ontology?abbrev=WE 17:2,311.22302
/resources/tools/chemdb_ontology?abbrev=FA 16:2,311.22302
/resources/tools/chemdb_ontology?abbrev=SFE 16:2,311.22302
/resources/tools/chemdb_ontology?abbrev=WE 16:2,311.22302
/resources/tools/chemdb_ontology?abbrev=FA 16:4,247.17011
/resources/tools/chemdb_ontology?abbrev=SFE 16:4,247.17011
/resources/tools/chemdb_ontology?abbrev=FA 18:1;O,297.24383
/resources/tools/chemdb_ontology?abbrev=FA 16:3,249.18586
/resources/tools/chemdb_ontology?abbrev=SFE 16:3,249.18586
/resources/tools/chemdb_ontology?abbrev=WE 16:3,249.18586
/resources/tools/chemdb_ontology?abbrev=FA 32:6;O2,249.18586
/resources/tools/chemdb_ontology?abbrev=CAR 18:2,422.32783
/resources/tools/chemdb_ontology?abbrev=PA O-28:0,577.42416
/resources/tools/chemdb_ontology?abbrev=ST 21:4;O4,343.19143
/resources/tools/chemdb_ontology?abbrev=ST 20:4;O2,343.19143
/resources/tools/chemdb_ontology?abbrev=FA 22:5;O2,361.23866
/resources/tools/chemdb_ontology?abbrev=FA 21:5,361.23866
/resources/tools/chemdb_ontology?abbrev=ST 21:2;O2,361.23866
/resources/tools/chemdb_ontology?abbrev=FA 20:5,361.23866
/resources/tools/chemdb_ontology?abbrev=ST 20:2;O2,361.23866
/resources/tools/chemdb_ontology?abbrev=FA 15:1;O,255.19660
/resources/tools/chemdb_ontology?abbrev=FA 20:3;O2,337.23864
/resources/tools/chemdb_ontology?abbrev=FA 19:3,337.23864
/resources/tools/chemdb_ontology?abbrev=SFE 19:3,337.23864
/resources/tools/chemdb_ontology?abbrev=ST 19:0;O2,337.23864
/resources/tools/chemdb_ontology?abbrev=FA 18:3,337.23864
/resources/tools/chemdb_ontology?abbrev=SFE 18:3,337.23864
/resources/tools/chemdb_ontology?abbrev=ST 18:0;O2,337.23864
/resources/tools/chemdb_ontology?abbrev=FA 22:4;O,347.25908
/resources/tools/chemdb_ontology?abbrev=ST 22:1;O3,347.25908
/resources/tools/chemdb_ontology?abbrev=ST 21:1;O,347.25908
/resources/tools/chemdb_ontology?abbrev=FA 18:4;O,291.19675
/resources/tools/chemdb_ontology?abbrev=FA 18:0;O2,315.25406
/resources/tools/chemdb_ontology?abbrev=MG O-15:1;O,315.25406
/resources/tools/chemdb_ontology?abbrev=FA 17:0,315.25406
/resources/tools/chemdb_ontology?abbrev=SFE 17:0,315.25406
/resources/tools/chemdb_ontology?abbrev=WE 17:0,315.25406
/resources/tools/chemdb_ontology?abbrev=FA 16:0,315.25406
/resources/tools/chemdb_ontology?abbrev=SFE 16:0,315.25406
/resources/tools/chemdb_ontology?abbrev=WE 16:0,315.25406
/resources/tools/chemdb_ontology?abbrev=FA 18:2;O,331.20487
/resources/tools/chemdb_ontology?abbrev=FA 20:4;O,319.22804
/resources/tools/chemdb_ontology?abbrev=ST 19:1;O,319.22804
/resources/tools/chemdb_ontology?abbrev=FA 20:4;O,355.20501
/resources/tools/chemdb_ontology?abbrev=FA 18:1;O2,313.23881
/resources/tools/chemdb_ontology?abbrev=FA 17:1,313.23881
/resources/tools/chemdb_ontology?abbrev=SFE 17:1,313.23881
/resources/tools/chemdb_ontology?abbrev=FA 16:1,313.23881
/resources/tools/chemdb_ontology?abbrev=SFE 16:1,313.23881
/resources/tools/chemdb_ontology?abbrev=WE 16:1,313.23881
/resources/tools/chemdb_ontology?abbrev=FA 14:0;O,243.19631
/resources/tools/chemdb_ontology?abbrev=FA 22:4;O,347.25939
/resources/tools/chemdb_ontology?abbrev=ST 22:1;O3,347.25939
/resources/tools/chemdb_ontology?abbrev=ST 21:1;O,347.25939
/resources/tools/chemdb_ontology?abbrev=FA 18:7,329.17615
/resources/tools/chemdb_ontology?abbrev=ST 18:4;O2,329.17615
/resources/tools/chemdb_ontology?abbrev=FA 22:6;O,379.20483
/resources/tools/chemdb_ontology?abbrev=ST 22:3;O3,379.20483
/resources/tools/chemdb_ontology?abbrev=FA 21:3;O2,411.27550
/resources/tools/chemdb_ontology?abbrev=FA 12:3,253.14446
/resources/tools/chemdb_ontology?abbrev=FA 15:2,237.18577
/resources/tools/chemdb_ontology?abbrev=SFE 15:2,237.18577
