LMSD Examples,LM_ID,Common Name,Systematic Name,Main Class,Sub Class,Mass,Formula,m/z,RT [min]
/resources/tools/chemdb_ontology?abbrev=SPB 18:1;O3,LMSP01030002,Dehydrophytosphingosine,4R-hydroxysphing-8E-enine,Sphingoid bases [SP01],4-Hydroxysphinganines (Phytosphingosines) [SP0103],315.28,C18H37NO3,314.27023,2.307
/resources/tools/chemdb_ontology?abbrev=SPB 18:1;O3,LMSP01080009,4-hydroxy-8cis-sphingenine,4R-hydroxy-sphing-8Z-enine,Sphingoid bases [SP01],Sphingoid base analogs [SP0108],315.28,C18H37NO3,314.27023,2.307
/resources/tools/chemdb_ontology?abbrev=SPB 18:1;O3,LMSP01080003,6-hydroxysphingosine,6-hydroxysphing-4E-enine,Sphingoid bases [SP01],Sphingoid base analogs [SP0108],315.28,C18H37NO3,314.27023,2.307
/resources/tools/chemdb_ontology?abbrev=FA 24:1;O,LMFA01050215,24-hydroxy-10Z-tetracosenoic acid,24-hydroxy-10Z-tetracosenoic acid,Fatty Acids and Conjugates [FA01],Hydroxy fatty acids [FA0105],382.34,C24H46O3,417.31403,8.296
/resources/tools/chemdb_ontology?abbrev=FA 24:1;O,LMFA01050547,2R-hydroxy-15Z-tetracosenoic acid,2R-hydroxy-15Z-tetracosenoic acid,Fatty Acids and Conjugates [FA01],Hydroxy fatty acids [FA0105],382.34,C24H46O3,417.31403,8.296
/resources/tools/chemdb_ontology?abbrev=FA 24:1;O,LMFA01050216,Hydroxynervonic acid,2-hydroxy-15Z-tetracosenoic acid,Fatty Acids and Conjugates [FA01],Hydroxy fatty acids [FA0105],382.34,C24H46O3,417.31403,8.296
/resources/tools/chemdb_ontology?abbrev=FA 24:1;O,LMFA01060147,3-oxo-tetracosanoic acid,3-oxo-tetracosanoic acid,Fatty Acids and Conjugates [FA01],Oxo fatty acids [FA0106],382.34,C24H46O3,417.31403,8.296
/resources/tools/chemdb_ontology?abbrev=LPA 18:1,LMGP10050014,PA(0:0/18:1(9Z)),2-(9Z-octadecenoyl)-sn-glycero-3-phosphate,Glycerophosphates [GP10],Monoacylglycerophosphates [GP1005],436.26,C21H41O7P,435.25197,10.634
/resources/tools/chemdb_ontology?abbrev=LPA 18:1,LMGP10050008,PA(18:1(9Z)/0:0),1-(9Z-octadecenoyl)-sn-glycero-3-phosphate,Glycerophosphates [GP10],Monoacylglycerophosphates [GP1005],436.26,C21H41O7P,435.25197,10.634
/resources/tools/chemdb_ontology?abbrev=LPA 18:1,LMGP10050045,lysophosphatidic acid,2-hydroxy-3-(phosphonooxy)propyl octadec-9-enoate,Glycerophosphates [GP10],Monoacylglycerophosphates [GP1005],436.26,C21H41O7P,435.25197,10.634
/resources/tools/chemdb_ontology?abbrev=ST 27:2;O7,LMST01010546,15-hydroxyponasterone A,"2beta,3beta,14alpha,15beta,20,22R-hexahydroxy-5beta-cholest-7-en-6-one",Sterols [ST01],Cholesterol and derivatives [ST0101],480.31,C27H44O7,479.3016,4.473
/resources/tools/chemdb_ontology?abbrev=ST 27:2;O7,LMST01010209,20-hydroxyecdysone,"2beta,3beta,14alpha,20,22R,25-hexahydroxy-5beta-cholest-7-en-6-one",Sterols [ST01],Cholesterol and derivatives [ST0101],480.31,C27H44O7,479.3016,4.473
/resources/tools/chemdb_ontology?abbrev=ST 27:2;O7,LMST01010186,"22-deoxy-20,21-dihydroxyecdysone","2beta,3beta,14,20,21,25-hexahydroxy-5beta-cholest-7-en-6-one",Sterols [ST01],Cholesterol and derivatives [ST0101],480.31,C27H44O7,479.3016,4.473
/resources/tools/chemdb_ontology?abbrev=ST 27:2;O7,LMST01010589,24-hydroxy-Ecdysone,"2beta,3beta,14alpha,22R,24S,25-hexahydroxy-5beta-cholest-7-en-6-one",Sterols [ST01],Cholesterol and derivatives [ST0101],480.31,C27H44O7,479.3016,4.473
/resources/tools/chemdb_ontology?abbrev=ST 27:2;O7,LMST01010604,Inokosterone,"2beta,3beta,14alpha,20R,22R,26-hexahydroxy-5beta-cholest-7-en-6-one",Sterols [ST01],Cholesterol and derivatives [ST0101],480.31,C27H44O7,479.3016,4.473
/resources/tools/chemdb_ontology?abbrev=ST 27:2;O7,LMST01010556,Pterosterone,"2beta,3beta,14alpha,20R,22R,24S-hexahydroxy-5beta-cholest-7-en-6-one",Sterols [ST01],Cholesterol and derivatives [ST0101],480.31,C27H44O7,479.3016,4.473
/resources/tools/chemdb_ontology?abbrev=ST 27:2;O7,LMST01010570,Scabrasterone,"2beta,3beta,11alpha,14alpha,20R,25-hexahydroxy-5beta-cholest-7-en-6-one",Sterols [ST01],Cholesterol and derivatives [ST0101],480.31,C27H44O7,479.3016,4.473
/resources/tools/chemdb_ontology?abbrev=ST 27:2;O7,LMST01010576,Uniflorsterone,"2beta,3beta,11alpha,14alpha,20R,23S-hexahydroxy-5beta-cholesta-7-en-6-one",Sterols [ST01],Cholesterol and derivatives [ST0101],480.31,C27H44O7,479.3016,4.473
/resources/tools/chemdb_ontology?abbrev=ST 27:2;O7,LMST01010429,Zoanthusterone,"1beta,2beta,3beta,14alpha,20R,22R-hexahydroxy-5beta-cholest-7-en-6-one",Sterols [ST01],Cholesterol and derivatives [ST0101],480.31,C27H44O7,479.3016,4.473
/resources/tools/chemdb_ontology?abbrev=ST 27:2;O7,LMST01010194,inokosterone,"(22R,25R)-2beta,3beta,14,20,22,26-hexahydroxy-5beta-cholest-7-en-6-one",Sterols [ST01],Cholesterol and derivatives [ST0101],480.31,C27H44O7,479.3016,4.473
/resources/tools/chemdb_ontology?abbrev=ST 26:2;O5,LMST04030199,"3alpha,7alpha,12alpha-Trihydroxy-5beta-23E-cholestan-26-oic acid","3alpha,7alpha,12alpha-Trihydroxy-5beta-23E-cholestan-26-oic acid",Bile acids and derivatives [ST04],"C27 bile acids, alcohols, and derivatives [ST0403]",434.3,C26H42O5,433.29558,4.929
/resources/tools/chemdb_ontology?abbrev=ST 25:2;O5,LMST04070031,Homodeoxycholic acid,"24-homo-3alpha,12alpha-dihydroxy-5beta-cholan-25-oic acid",Bile acids and derivatives [ST04],"C25 bile acids, alcohols, and derivatives [ST0407]",420.29,C25H40O5,465.28557,3.69
/resources/tools/chemdb_ontology?abbrev=LPA O-16:0,LMGP10060005,PA(O-16:0/0:0),1-hexadecyl-glycero-3-phosphate,Glycerophosphates [GP10],Monoalkylglycerophosphates [GP1006],396.26,C19H41O6P,395.25701,10.635
/resources/tools/chemdb_ontology?abbrev=LPA 18:0,LMGP10050043,PA(0:0/18:0),2-octadecanoyl-sn-glycero-3-phosphate,Glycerophosphates [GP10],Monoacylglycerophosphates [GP1005],438.27,C21H43O7P,437.26743,10.634
/resources/tools/chemdb_ontology?abbrev=LPA 18:0,LMGP10050005,PA(18:0/0:0),1-octadecanoyl-sn-glycero-3-phosphate,Glycerophosphates [GP10],Monoacylglycerophosphates [GP1005],438.27,C21H43O7P,437.26743,10.634
/resources/tools/chemdb_ontology?abbrev=WE 22:1;O4,LMFA07011019,Sorbitan palmitate,"2-(3,4-dihydroxyoxolan-2-yl)-2-hydroxyethyl hexadecanoate",Fatty esters [FA07],Wax monoesters [FA0701],402.3,C22H42O6,437.26743,10.634
/resources/tools/chemdb_ontology?abbrev=FA 24:1;O2,LMFA01050418,Axillarenic acid,"11,13-dihydroxy-9E-tetracosenoic acid",Fatty Acids and Conjugates [FA01],Hydroxy fatty acids [FA0105],398.34,C24H46O4,397.33206,8.11
/resources/tools/chemdb_ontology?abbrev=FA 24:1;O2,LMFA01050558,Nebraskanic acid,"7R,18R-dihydroxy-15Z-tetracosenoic acid",Fatty Acids and Conjugates [FA01],Hydroxy fatty acids [FA0105],398.34,C24H46O4,397.33206,8.11
/resources/tools/chemdb_ontology?abbrev=FA 24:1;O2,LMFA01170039,Tetracosanedioic acid,Tetracosanedioic acid,Fatty Acids and Conjugates [FA01],Dicarboxylic acids [FA0117],398.34,C24H46O4,397.33206,8.11
/resources/tools/chemdb_ontology?abbrev=FA 23:1,LMFA01030412,14E-tricosenoic acid,14E-tricosenoic acid,Fatty Acids and Conjugates [FA01],Unsaturated fatty acids [FA0103],352.33,C23H44O2,397.33206,8.11
/resources/tools/chemdb_ontology?abbrev=FA 23:1,LMFA01030413,14Z-tricosenoic acid,14Z-tricosenoic acid,Fatty Acids and Conjugates [FA01],Unsaturated fatty acids [FA0103],352.33,C23H44O2,397.33206,8.11
/resources/tools/chemdb_ontology?abbrev=FA 23:1,LMFA01031309,15Z-tricosenoic acid,15Z-tricosenoic acid,Fatty Acids and Conjugates [FA01],Unsaturated fatty acids [FA0103],352.33,C23H44O2,397.33206,8.11
/resources/tools/chemdb_ontology?abbrev=FA 23:1,LMFA01030414,16Z-tricosenoic acid,16Z-tricosenoic acid,Fatty Acids and Conjugates [FA01],Unsaturated fatty acids [FA0103],352.33,C23H44O2,397.33206,8.11
/resources/tools/chemdb_ontology?abbrev=FA 23:1,LMFA01030415,17Z-tricosenoic acid,17Z-tricosenoic acid,Fatty Acids and Conjugates [FA01],Unsaturated fatty acids [FA0103],352.33,C23H44O2,397.33206,8.11
/resources/tools/chemdb_ontology?abbrev=FA 23:1,LMFA01030416,18Z-tricosenoic acid,18Z-tricosenoic acid,Fatty Acids and Conjugates [FA01],Unsaturated fatty acids [FA0103],352.33,C23H44O2,397.33206,8.11
/resources/tools/chemdb_ontology?abbrev=FA 23:1,LMFA01030091,22-tricosenoic acid,22-tricosenoic acid,Fatty Acids and Conjugates [FA01],Unsaturated fatty acids [FA0103],352.33,C23H44O2,397.33206,8.11
/resources/tools/chemdb_ontology?abbrev=FA 23:1,LMFA01031074,9Z-Tricosenoic acid,9Z-Tricosenoic acid,Fatty Acids and Conjugates [FA01],Unsaturated fatty acids [FA0103],352.33,C23H44O2,397.33206,8.11
/resources/tools/chemdb_ontology?abbrev=FA 23:1,LMFA01140046,"13,14-methylene-docosanoic acid","13,14-methylene-docosanoic acid",Fatty Acids and Conjugates [FA01],Carbocyclic fatty acids [FA0114],352.33,C23H44O2,397.33206,8.11
/resources/tools/chemdb_ontology?abbrev=SFE 23:1,LMFA07010645,SFE 18:1(9Z)/3:0(2Me),9Z-Octadecenyl isobutyrate,Fatty esters [FA07],Short fatty esters [FA0710],352.33,C23H44O2,397.33206,8.11
/resources/tools/chemdb_ontology?abbrev=WE 23:1,LMFA07010560,(Z)-7-Octadecenyl 3-methylbutanoate,(Z)-7-Octadecenyl 3-methylbutanoate,Fatty esters [FA07],Wax monoesters [FA0701],352.33,C23H44O2,397.33206,8.11
/resources/tools/chemdb_ontology?abbrev=WE 23:1,LMFA07010562,(Z)-9-Octadecenyl 3-methylbutanoate,(Z)-9-Octadecenyl 3-methylbutanoate,Fatty esters [FA07],Wax monoesters [FA0701],352.33,C23H44O2,397.33206,8.11
/resources/tools/chemdb_ontology?abbrev=WE 23:1,LMFA07010636,3-Methyl-3-butenyl octadecanoate,3-Methyl-3-butenyl octadecanoate,Fatty esters [FA07],Wax monoesters [FA0701],352.33,C23H44O2,397.33206,8.11
/resources/tools/chemdb_ontology?abbrev=WE 23:1,LMFA07010632,9-Octadecenyl 3-methylbutanoate,9-Octadecenyl 3-methylbutanoate,Fatty esters [FA07],Wax monoesters [FA0701],352.33,C23H44O2,397.33206,8.11
/resources/tools/chemdb_ontology?abbrev=FA 22:1,LMFA01020134,"2,4-dimethyl-2-eicosenoic acid","2,4-dimethyl-2-eicosenoic acid",Fatty Acids and Conjugates [FA01],Branched fatty acids [FA0102],338.32,C22H42O2,397.33206,8.11
/resources/tools/chemdb_ontology?abbrev=FA 22:1,LMFA01031319,10Z-docosenoic acid,10Z-docosenoic acid,Fatty Acids and Conjugates [FA01],Unsaturated fatty acids [FA0103],338.32,C22H42O2,397.33206,8.11
/resources/tools/chemdb_ontology?abbrev=FA 22:1,LMFA01031307,12E-docosenoic acid,12E-docosenoic acid,Fatty Acids and Conjugates [FA01],Unsaturated fatty acids [FA0103],338.32,C22H42O2,397.33206,8.11
/resources/tools/chemdb_ontology?abbrev=FA 22:1,LMFA01031320,12Z-docosenoic acid,12Z-docosenoic acid,Fatty Acids and Conjugates [FA01],Unsaturated fatty acids [FA0103],338.32,C22H42O2,397.33206,8.11
/resources/tools/chemdb_ontology?abbrev=FA 22:1,LMFA01031306,14E-docosenoic acid,14E-docosenoic acid,Fatty Acids and Conjugates [FA01],Unsaturated fatty acids [FA0103],338.32,C22H42O2,397.33206,8.11
/resources/tools/chemdb_ontology?abbrev=FA 22:1,LMFA01031303,14Z-docosenoic acid,14Z-docosenoic acid,Fatty Acids and Conjugates [FA01],Unsaturated fatty acids [FA0103],338.32,C22H42O2,397.33206,8.11
/resources/tools/chemdb_ontology?abbrev=FA 22:1,LMFA01030401,15-docosenoic acid,15E-docosenoic acid,Fatty Acids and Conjugates [FA01],Unsaturated fatty acids [FA0103],338.32,C22H42O2,397.33206,8.11
/resources/tools/chemdb_ontology?abbrev=FA 22:1,LMFA01030402,15Z-docosenoic acid,15Z-docosenoic acid,Fatty Acids and Conjugates [FA01],Unsaturated fatty acids [FA0103],338.32,C22H42O2,397.33206,8.11
